Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
11709,"Asparagus, frozen, cooked, boiled, drained, with salt",2.95,1.92,0.42,,
11019,"Asparagus, frozen, cooked, boiled, drained, without salt",2.95,1.92,0.42,,
11018,"Asparagus, frozen, unprepared",3.23,4.1,0.23,,
11011,"Asparagus, raw",2.2,3.88,0.12,,
09037,"Avocados, raw, all commercial varieties",2.0,8.53,14.66,,
09038,"Avocados, raw, California",1.96,8.64,15.41,,
09039,"Avocados, raw, Florida",2.23,7.82,10.06,,
43212,"Bacon bits, meatless",32.0,28.6,25.9,,
16104,"Bacon, meatless",11.69,5.31,29.52,,
10994,"Bacon, pre-sliced, reduced/low sodium, unprepared",12.53,0.83,39.27,,
11710,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",3.6,6.16,0.2,,
11023,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",3.6,6.68,0.2,,
11022,"Balsam-pear (bitter gourd), leafy tips, raw",5.3,3.29,0.69,,
11711,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",0.84,4.32,0.18,,
11025,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",0.84,4.32,0.18,,
11024,"Balsam-pear (bitter gourd), pods, raw",1.0,3.7,0.17,,
11028,"Bamboo shoots, canned, drained solids",1.72,3.22,0.4,,
11712,"Bamboo shoots, cooked, boiled, drained, with salt",1.53,1.52,0.22,,
11027,"Bamboo shoots, cooked, boiled, drained, without salt",1.53,1.92,0.22,,
11026,"Bamboo shoots, raw",2.6,5.2,0.3,,
09041,"Bananas, dehydrated, or banana powder",3.89,88.28,1.81,,
09040,"Bananas, raw",1.09,22.84,0.33,,
20130,"Barley flour or meal",10.5,74.52,1.6,,
20131,"Barley malt flour",10.28,78.3,1.84,,
20004,"Barley, hulled",12.48,73.48,2.3,,
20006,"Barley, pearled, cooked",2.26,28.22,0.44,,
20005,"Barley, pearled, raw",9.91,77.72,1.16,,
16302,"Beans, adzuki, mature seed, cooked, boiled, with salt",7.52,24.77,0.1,,
16003,"Beans, adzuki, mature seeds, canned, sweetened",3.8,55.01,0.03,,
16002,"Beans, adzuki, mature seeds, cooked, boiled, without salt",7.52,24.77,0.1,,
16001,"Beans, adzuki, mature seeds, raw",19.87,62.9,0.53,,
43449,"Beans, baked, canned, no salt added",4.8,20.49,0.4,,
16006,"Beans, baked, canned, plain or vegetarian",4.75,21.14,0.37,,
16007,"Beans, baked, canned, with beef",6.38,16.91,3.45,,
16008,"Beans, baked, canned, with franks",6.75,15.39,6.57,,
16009,"Beans, baked, canned, with pork",5.19,19.99,1.55,,
16010,"Beans, baked, canned, with pork and sweet sauce",4.52,21.57,0.89,,
16011,"Beans, baked, canned, with pork and tomato sauce",5.15,18.69,0.93,,
16005,"Beans, baked, home prepared",5.54,21.63,5.15,,
16018,"Beans, black turtle, mature seeds, canned",6.03,16.55,0.29,,
16317,"Beans, black turtle, mature seeds, cooked, boiled, with salt",8.18,24.35,0.35,,
16017,"Beans, black turtle, mature seeds, cooked, boiled, without salt",8.18,24.35,0.35,,
16016,"Beans, black turtle, mature seeds, raw",21.25,63.25,0.9,,
16316,"Beans, black, mature seeds, canned, low sodium",6.03,16.55,0.29,,
16315,"Beans, black, mature seeds, cooked, boiled, with salt",8.86,23.71,0.54,,
16015,"Beans, black, mature seeds, cooked, boiled, without salt",8.86,23.71,0.54,,
16014,"Beans, black, mature seeds, raw",21.6,62.36,1.42,,
43112,"Beans, chili, barbecue, ranch style, cooked",5.0,16.9,1.0,,
16021,"Beans, cranberry (roman), mature seeds, canned",5.54,15.12,0.28,,
16320,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",9.34,24.46,0.46,,
16020,"Beans, cranberry (roman), mature seeds, cooked, boiled, without salt",9.34,24.46,0.46,,
16019,"Beans, cranberry (roman), mature seeds, raw",23.03,60.05,1.23,,
11973,"Beans, fava, in pod, raw",7.92,17.63,0.73,,
16323,"Beans, french, mature seeds, cooked, boiled, with salt",7.05,24.02,0.76,,
16023,"Beans, french, mature seeds, cooked, boiled, without salt",7.05,24.02,0.76,,
16022,"Beans, french, mature seeds, raw",18.81,64.11,2.02,,
16026,"Beans, great northern, mature seeds, canned",7.37,21.02,0.39,,
16326,"Beans, great northern, mature seeds, canned, low sodium",7.37,21.02,0.39,,
16325,"Beans, great northern, mature seeds, cooked, boiled, with salt",8.33,21.09,0.45,,
16025,"Beans, great northern, mature seeds, cooked, boiled, without salt",8.33,21.09,0.45,,
16024,"Beans, great northern, mature seeds, raw",21.86,62.37,1.14,,
16029,"Beans, kidney, all types, mature seeds, canned",5.22,14.5,0.6,,
16328,"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",8.67,22.8,0.5,,
16028,"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",8.67,22.8,0.5,,
16027,"Beans, kidney, all types, mature seeds, raw",23.58,60.01,0.83,,
16331,"Beans, kidney, california red, mature seeds, cooked, boiled, with salt",9.13,22.41,0.09,,
16031,"Beans, kidney, california red, mature seeds, cooked, boiled, without salt",9.13,22.41,0.09,,
16030,"Beans, kidney, california red, mature seeds, raw",24.37,59.8,0.25,,
