Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
23428,"Beef, New Zealand, imported, oyster blade, separable lean only, cooked, braised",29.87,0.0,8.46,,
23429,"Beef, New Zealand, imported, oyster blade, separable lean only, raw",21.83,0.0,7.56,,
23430,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",27.23,0.09,9.74,,
23431,"Beef, New Zealand, imported, ribs prepared, raw",21.31,0.0,6.78,,
23465,"Beef, New Zealand, imported, rump centre, separable lean and fat, cooked, fast fried",30.01,0.0,7.96,,
23467,"Beef, New Zealand, imported, rump centre, separable lean and fat, raw",21.65,0.0,6.5,,
23432,"Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried",30.17,0.0,7.48,,
23466,"Beef, New Zealand, imported, rump centre, separable lean only, raw",21.74,0.0,6.05,,
23468,"Beef, New Zealand, imported, striploin, separable lean and fat, cooked, fast fried",24.89,0.02,22.33,,
23469,"Beef, New Zealand, imported, striploin, separable lean and fat, raw",18.49,0.6,19.53,,
23433,"Beef, New Zealand, imported, striploin, separable lean only, cooked, fast fried",28.53,0.0,11.4,,
23434,"Beef, New Zealand, imported, striploin, separable lean only, raw",20.93,0.74,7.0,,
23435,"Beef, New Zealand, imported, subcutaneous fat, cooked",6.5,0.0,78.3,,
23436,"Beef, New Zealand, imported, subcutaneous fat, raw",8.5,0.0,72.38,,
23437,"Beef, New Zealand, imported, sweetbread, cooked, boiled",12.53,0.0,29.79,,
23438,"Beef, New Zealand, imported, sweetbread, raw",11.51,0.0,28.6,,
23470,"Beef, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried",29.26,0.27,9.35,,
23471,"Beef, New Zealand, imported, tenderloin, separable lean and fat, raw",21.04,0.0,6.88,,
23439,"Beef, New Zealand, imported, tenderloin, separable lean only, cooked, fast fried",29.37,0.27,9.01,,
23441,"Beef, New Zealand, imported, tenderloin, separable lean only, raw",21.19,0.0,6.1,,
23424,"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",23.3,3.78,4.68,,
23414,"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",31.29,0.0,6.0,,
23415,"Beef, New Zealand, imported, variety meats and by-products, heart, raw",18.52,0.0,3.4,,
23421,"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",27.28,0.0,5.27,,
23423,"Beef, New Zealand, imported, variety meats and by-products, kidney, raw",15.68,0.0,2.64,,
23425,"Beef, New Zealand, imported, variety meats and by-products, liver, raw",20.5,3.6,4.05,,
23442,"Beef, New Zealand, imported, variety meats and by-products, tongue, cooked, boiled",18.31,3.68,20.34,,
23443,"Beef, New Zealand, imported, variety meats and by-products, tongue, raw",17.77,0.0,19.09,,
23444,"Beef, New Zealand, imported, variety meats and by-products, tripe cooked, boiled",19.0,0.0,2.98,,
23445,"Beef, New Zealand, imported, variety meats and by-products, tripe uncooked, raw",14.86,0.0,1.98,,
23214,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",29.36,0.0,14.2,,
23217,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",20.38,0.0,11.71,,
23215,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",28.9,0.0,15.3,,
23218,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",20.06,0.0,12.78,,
23216,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",30.06,0.0,12.54,,
23219,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",20.87,0.0,10.11,,
23162,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",29.99,0.0,12.69,,
23163,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",21.17,0.0,8.82,,
23164,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",29.56,0.0,13.72,,
23165,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw",20.89,0.0,9.76,,
23166,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",30.64,0.0,11.16,,
23167,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",21.61,0.0,7.41,,
23221,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",27.06,0.0,20.47,,
23224,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",17.98,0.35,17.59,,
23222,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",26.46,0.0,21.62,,
23225,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",17.69,0.35,18.44,,
23223,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",27.95,0.0,18.75,,
23226,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",18.43,0.36,16.31,,
23168,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",27.68,0.0,19.01,,
23169,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",18.74,0.19,14.53,,
23170,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",27.03,0.0,20.28,,
23171,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",18.47,0.17,15.26,,
23172,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",28.65,0.0,17.1,,
23173,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",19.14,0.23,13.44,,
23540,"Beef, plate, inside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",26.13,0.0,12.05,,
13977,"Beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",26.66,0.0,10.06,,
23541,"Beef, plate, outside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",23.51,0.0,17.13,,
13979,"Beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",24.18,0.0,14.37,,
13020,"Beef, retail cuts, separable fat, cooked",10.65,0.0,70.33,,
13019,"Beef, retail cuts, separable fat, raw",8.21,0.0,70.89,,
23191,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",23.47,0.0,22.91,,
23189,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",23.53,0.0,23.61,,
23190,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",23.36,0.0,21.85,,
23146,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",27.12,0.0,13.64,,
23101,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",27.18,0.0,14.55,,
23147,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",27.03,0.0,12.29,,
23198,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",24.3,0.0,21.66,,
23199,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",23.92,0.0,22.98,,
23200,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",24.85,0.0,19.68,,
23159,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",28.21,0.0,11.68,,
23160,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",27.87,0.0,13.01,,
23161,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",28.72,0.0,9.68,,
23188,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",22.9,0.0,24.2,,
23186,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",22.71,0.0,24.7,,
23187,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",23.19,0.0,23.47,,
23156,"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",27.4,0.0,12.43,,
23157,"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.03,0.0,13.44,,
23158,"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",27.96,0.0,10.91,,
23227,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",24.85,0.0,19.02,,
23230,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",19.26,0.12,16.71,,
23228,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",23.89,0.0,21.1,,
23231,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",18.69,0.2,18.43,,
23229,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",26.29,0.0,15.9,,
23232,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",20.12,0.0,14.14,,
23174,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",28.11,0.0,10.37,,
23175,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",21.85,0.0,7.41,,
23176,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",27.39,0.0,11.75,,
23177,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",21.44,0.0,8.5,,
23178,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",29.18,0.0,8.31,,
23179,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",22.46,0.0,5.78,,
23197,"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",23.69,0.0,21.81,,
23195,"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",22.92,0.0,23.52,,
23196,"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",24.83,0.0,19.25,,
23100,"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",27.97,0.0,10.57,,
23148,"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,0.0,11.97,,
23149,"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",28.98,0.0,8.48,,
23192,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",18.13,0.0,20.31,,
23193,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",17.92,0.0,20.96,,
23194,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",18.44,0.0,19.34,,
23150,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",21.22,0.0,9.04,,
23151,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",20.93,0.0,9.97,,
23152,"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",21.65,0.0,7.64,,
23201,"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",18.85,0.0,18.73,,
23202,"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",18.39,0.0,19.95,,
23213,"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",19.55,0.0,16.9,,
23153,"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",21.99,0.0,7.54,,
23154,"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",21.62,0.0,8.29,,
23155,"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",22.55,0.0,6.41,,
13952,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",27.27,0.0,14.74,,
13951,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",27.95,0.0,12.71,,
13284,"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",21.17,0.0,6.57,,
23233,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",24.23,0.0,29.21,,
23236,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, raw",16.15,0.78,28.42,,
23234,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",23.34,0.0,30.95,,
23237,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, raw",15.75,0.9,29.89,,
23235,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",25.56,0.0,26.59,,
23238,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, raw",16.75,0.6,26.23,,
23180,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",28.36,0.0,20.57,,
23181,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, all grades, raw",19.11,0.46,17.91,,
23182,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, cooked, braised",27.75,0.0,21.72,,
23183,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, raw",18.72,0.64,19.36,,
23184,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, select, cooked, braised",29.28,0.0,18.84,,
23185,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, select, raw",19.71,0.2,15.73,,
13490,"Beef, rib, eye, small end (ribs 10- 12) separable lean only, trimmed to 0"" fat, select, cooked, broiled",29.93,0.0,6.05,,
13096,"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",26.58,0.0,16.76,,
13095,"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",17.51,0.0,22.07,,
13098,"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled",28.88,0.0,9.01,,
13097,"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, raw",20.13,0.0,8.3,,
13386,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",22.8,0.0,30.49,,
13387,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",23.48,0.0,25.54,,
13839,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",21.55,0.0,27.22,,
13840,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",23.01,0.0,28.51,,
13838,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",16.26,0.0,27.29,,
13842,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",20.86,0.0,31.18,,
13843,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",22.5,0.0,31.28,,
13841,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, raw",16.03,0.0,29.34,,
13848,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",20.65,0.0,34.97,,
13849,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",22.86,0.0,32.74,,
13847,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw",15.77,0.0,33.26,,
13845,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",21.55,0.0,25.71,,
13846,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",23.4,0.0,25.84,,
13844,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, raw",16.52,0.0,24.85,,
13388,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",27.53,0.0,13.4,,
13389,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, choice, cooked, roasted",27.53,0.0,15.0,,
13390,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, select, cooked, roasted",27.53,0.0,11.4,,
13148,"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",21.57,0.0,41.98,,
13147,"Beef, rib, shortribs, separable lean and fat, choice, raw",14.4,0.0,36.23,,
13150,"Beef, rib, shortribs, separable lean only, choice, cooked, braised",30.76,0.0,18.13,,
13149,"Beef, rib, shortribs, separable lean only, choice, raw",19.05,0.0,10.19,,
13391,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",27.27,0.0,14.74,,
13392,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",24.73,0.0,22.84,,
13393,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",24.91,0.0,19.79,,
13851,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",25.85,0.0,20.04,,
13852,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",22.54,0.0,27.14,,
13850,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",19.33,0.0,19.06,,
13854,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",24.53,0.0,22.09,,
13855,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",22.28,0.0,29.21,,
13853,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.09,0.0,20.13,,
13860,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",24.13,0.0,27.86,,
13861,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",22.15,0.0,35.12,,
13859,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw",16.74,0.0,29.18,,
13857,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",27.17,0.0,18.0,,
13858,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",22.76,0.0,25.02,,
13856,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",19.56,0.0,18.0,,
13394,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",29.41,0.0,7.53,,
13395,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled",28.04,0.0,11.7,,
13396,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, cooked, broiled",28.04,0.0,8.7,,
23638,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",29.58,0.0,7.63,,
23599,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, raw",22.33,0.0,5.04,,
23623,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, choice, raw",22.12,0.0,5.91,,
23586,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",30.87,0.0,6.22,,
23582,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, select, raw",22.53,0.0,4.2,,
23626,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8""fat, choice, cooked, broiled",28.29,0.0,9.05,,
13825,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",22.42,0.0,26.75,,
13826,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",22.77,0.0,28.11,,
13824,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",16.53,0.0,26.1,,
13828,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",22.26,0.0,28.5,,
13829,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",22.6,0.0,29.79,,
13827,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",16.34,0.0,27.93,,
13834,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",21.95,0.0,32.38,,
13835,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",22.57,0.0,33.7,,
13833,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw",16.15,0.0,31.66,,
13831,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",22.73,0.0,24.2,,
13832,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",23.1,0.0,25.63,,
13830,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",16.75,0.0,23.95,,
23263,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",22.66,0.04,4.66,,
23264,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",22.52,0.18,5.29,,
23265,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",22.89,0.0,3.72,,
23266,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",24.66,1.53,15.7,,
23269,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",19.7,1.51,10.6,,
23267,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",24.24,1.81,17.21,,
23270,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",19.46,1.75,11.4,,
23268,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",25.28,1.1,13.43,,
23271,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",20.05,1.15,9.39,,
23272,"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",28.77,0.17,9.2,,
23273,"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",28.35,0.51,10.26,,
23274,"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",29.39,0.0,7.61,,
23275,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",28.15,0.0,7.31,,
23276,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",28.0,0.0,8.42,,
23277,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",28.37,0.0,5.65,,
23590,"Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",28.45,0.0,4.67,,
13414,"Beef, round, bottom round roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",28.29,0.0,5.33,,
13399,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",27.42,0.0,7.72,,
13402,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",26.76,0.0,9.37,,
13405,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",28.08,0.0,6.06,,
13870,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",26.41,0.0,11.64,,
13873,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",26.05,0.0,12.44,,
13876,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",26.77,0.0,10.85,,
13408,"Beef, round, bottom round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",27.76,0.0,6.48,,
13411,"Beef, round, bottom round, roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",27.23,0.0,7.63,,
23604,"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked",28.0,0.0,5.72,,
23594,"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",22.19,0.0,4.31,,
23619,"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",27.56,0.0,6.77,,
23618,"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw",22.22,0.0,4.96,,
23637,"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, select, raw",22.18,0.0,3.66,,
13398,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",33.56,0.0,8.86,,
13401,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",32.73,0.0,10.0,,
13404,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",34.39,0.0,7.72,,
